type,paid,users,comment,like,share
Photo,0,330,0,61,6
Photo,1,371,1,104,12
Photo,0,518,3,146,15
Photo,1,436,2,102,15
Photo,0,1359,9,766,43
Photo,0,377,0,63,7
Photo,1,512,3,113,17
Photo,0,1666,6,442,42
Photo,0,703,9,278,43
Photo,0,399,2,64,7
Photo,0,365,1,52,7
Photo,0,1954,33,1155,102
Photo,1,498,2,139,25
Photo,0,428,0,40,5
Status,1,1151,2,53,15
Photo,0,946,4,220,19
Photo,0,394,2,114,16
Photo,0,2240,4,859,68
Photo,0,529,5,137,20
Photo,0,347,1,54,11
Photo,1,376,2,74,22
Photo,0,630,2,264,21
Photo,0,345,3,36,11
Photo,1,844,4,435,31
Photo,0,1062,2,114,10
Photo,0,363,2,17,9
Photo,0,1393,3,87,10
Photo,0,769,16,227,28
Photo,0,389,2,86,8
Photo,0,548,6,179,27
Status,0,997,1,74,11
Status,1,3370,18,332,54
Photo,0,528,2,80,21
Status,0,2827,9,95,17
Photo,1,473,3,188,26
Photo,1,699,6,109,11
Photo,0,868,64,367,25
Photo,0,444,9,102,19
Photo,0,424,2,113,20
Photo,0,356,0,94,20
Photo,0,320,1,43,10
Photo,0,372,1,98,21
Photo,0,913,12,237,45
Photo,0,424,4,112,23
Photo,0,451,2,101,25
Photo,1,487,10,145,31
Photo,0,1016,6,535,83
Photo,0,536,4,118,22
Status,0,2573,9,484,79
Video,1,3872,18,315,76
Photo,0,1052,4,154,30
Photo,0,550,0,73,15
Photo,0,541,0,96,19
Photo,0,571,1,98,19
Photo,1,479,1,53,14
Photo,1,622,4,71,10
Photo,0,877,6,194,34
Photo,0,756,6,226,42
Status,1,2417,11,238,51
Photo,0,1620,10,755,58
Photo,1,602,30,47,8
Photo,1,863,2,126,32
Photo,1,1407,4,104,10
Photo,0,685,10,167,26
Photo,0,729,9,152,41
Photo,1,701,0,128,15
Photo,0,964,13,234,43
Photo,0,513,2,61,16
Photo,1,550,0,66,9
Photo,0,1355,7,529,60
Photo,1,528,3,42,10
Photo,0,758,2,75,24
Status,0,1473,13,61,13
Photo,0,909,26,162,7
Photo,1,2003,6,696,28
Photo,1,1191,7,215,47
Photo,1,2889,22,534,31
Photo,0,1007,1,143,27
Photo,0,895,18,46,7
Status,0,3742,36,98,14
Photo,1,722,0,25,5
Video,0,1779,23,204,44
Photo,1,1043,11,202,5
Photo,0,2552,7,148,39
Photo,0,735,1,40,8
Photo,0,909,1,71,17
Status,0,2240,0,104,13
Photo,0,1631,11,129,12
Status,0,870,4,72,18
Photo,1,936,14,102,9
Photo,0,1418,103,469,33
Photo,0,170,5,57,5
Photo,0,753,5,141,26
Photo,0,569,0,19,5
Photo,0,610,1,71,23
Photo,0,691,0,72,21
Photo,0,1160,5,54,7
Photo,0,724,5,93,19
Photo,0,564,0,62,10
Photo,0,621,0,78,16
Photo,0,909,11,231,43
Photo,1,552,1,72,16
Photo,1,1382,9,197,28
Photo,1,985,4,330,29
Photo,0,884,0,148,7
Photo,0,842,2,208,28
Photo,0,750,12,148,28
Photo,1,768,4,154,26
Photo,0,1029,3,142,18
Photo,0,791,8,107,20
Photo,0,664,2,84,13
Photo,0,579,2,59,12
Photo,1,647,3,65,14
Photo,0,1557,9,186,23
Photo,0,756,0,58,17
Photo,0,702,2,74,14
Photo,0,768,2,180,44
Photo,1,1141,18,168,49
Photo,0,759,0,36,5
Photo,0,581,2,51,6
Photo,1,560,2,67,14
Photo,0,2579,20,1372,47
Photo,1,526,2,57,6
Photo,0,732,2,33,10
Photo,0,722,1,79,17
Photo,1,577,3,97,22
Photo,0,1684,16,617,58
Photo,1,684,7,139,34
Photo,0,1049,20,199,32
Photo,0,692,1,107,26
Photo,0,566,0,50,10
Photo,0,596,0,64,20
Status,0,1636,2,55,10
Photo,0,678,1,142,37
Photo,0,526,2,72,9
Photo,0,536,4,79,16
Photo,1,823,25,244,44
Photo,0,1062,25,307,58
Photo,0,679,6,212,36
Photo,0,470,2,95,17
Photo,0,734,5,194,33
Photo,1,491,6,101,29
Link,0,344,3,46,14
Photo,1,604,3,156,20
Photo,0,2298,37,821,90
Photo,0,392,1,58,13
Photo,1,574,12,155,23
Photo,0,3000,45,1639,122
Photo,0,676,3,155,32
Photo,1,647,4,166,33
Status,1,1701,6,210,39
Photo,0,1005,4,400,25
Photo,0,552,2,98,18
Photo,0,625,12,138,38
Photo,0,562,3,148,16
Photo,0,689,2,267,40
Photo,0,565,1,144,29
Photo,0,780,25,256,54
Photo,0,577,3,72,24
Photo,0,463,0,87,18
Status,0,908,1,129,36
Photo,1,736,1,179,30
Photo,0,1599,9,194,33
Photo,0,624,1,124,32
Photo,0,905,4,304,47
Photo,1,739,12,138,39
Photo,0,583,4,41,9
Photo,1,708,2,163,35
Photo,0,1476,45,407,76
Status,1,2750,17,447,123
Link,1,339,7,38,11
Photo,0,962,2,93,26
Photo,1,671,0,59,16
Photo,1,830,0,286,30
Photo,0,564,0,66,13
Photo,1,838,8,236,51
Photo,1,1215,2,152,11
Photo,1,3984,51,1998,128
Photo,0,1539,8,186,18
Photo,0,964,11,235,34
Photo,0,718,1,64,22
Photo,0,662,2,92,28
Photo,0,669,3,53,13
Photo,1,657,5,140,38
Photo,0,621,0,48,8
Photo,1,700,0,112,14
Photo,0,524,0,35,5
Photo,1,522,0,48,14
Photo,1,1933,6,766,109
Photo,0,705,1,96,18
Photo,0,518,1,57,13
Photo,0,601,3,114,21
Photo,0,509,1,51,6
Photo,1,504,1,87,27
Photo,0,1784,5,81,11
Photo,0,666,1,71,18
Photo,0,715,9,164,52
Photo,1,537,5,91,26
Photo,1,1364,9,329,38
Photo,1,741,4,128,17
Link,0,1374,1,379,40
Photo,0,471,1,52,24
Photo,0,484,1,63,26
Photo,0,494,2,97,25
Photo,1,421,2,56,9
Link,0,338,1,36,7
Photo,0,624,4,138,26
Photo,0,642,7,142,24
Photo,0,477,1,75,15
Photo,1,612,1,89,14
Photo,1,517,2,63,16
Photo,1,735,3,176,29
Photo,0,1653,7,227,15
Status,0,951,3,25,6
Photo,0,466,1,27,11
Photo,0,523,0,39,14
Photo,0,538,0,61,13
Photo,0,463,0,32,7
Photo,0,735,0,32,6
Link,0,282,2,68,15
Photo,0,1409,4,213,13
Photo,0,1411,12,211,14
Photo,0,1373,0,136,13
Link,0,103,2,32,15
Photo,0,560,1,76,9
Photo,0,546,1,28,7
Photo,0,1591,10,664,97
Photo,0,589,1,62,10
Photo,0,603,0,48,20
Photo,1,711,1,55,7
Photo,1,11452,10,197,21
Photo,1,2348,6,88,24
Photo,1,1850,2,59,6
Photo,1,2299,6,234,26
Photo,0,1876,3,148,21
Photo,0,1362,0,96,29
Photo,0,1237,4,49,15
Photo,0,1132,3,98,27
Photo,0,1383,14,198,70
Photo,0,1095,5,159,53
Photo,1,949,1,22,6
Photo,0,2283,6,154,18
Photo,0,1239,5,128,32
Photo,1,1053,2,129,32
Photo,0,4544,146,1546,181
Photo,0,1291,5,79,11
Photo,1,1429,19,214,78
Photo,1,1713,8,134,34
Photo,0,2482,9,268,36
Photo,0,1166,4,128,38
Photo,1,949,3,47,21
Photo,1,1188,1,200,37
Photo,0,1573,5,264,36
Photo,0,1245,10,193,61
Link,0,448,4,114,13
Photo,0,1066,7,160,57
Photo,0,857,0,46,15
Photo,1,1004,4,136,42
Photo,0,1512,0,73,13
Photo,1,1179,0,65,19
Photo,1,2728,7,579,47
Link,0,572,1,101,5
Photo,0,1141,1,74,31
Photo,0,1117,7,84,36
Photo,0,1762,56,360,99
Photo,0,2969,3,187,36
Photo,0,1096,2,69,26
Photo,0,1062,2,82,24
Photo,0,1020,2,56,25
Photo,0,957,1,44,21
Photo,0,1407,21,277,80
Photo,0,975,1,74,28
Photo,0,951,1,79,30
Photo,1,956,1,105,46
Link,0,753,0,128,9
Photo,0,1179,17,185,55
Photo,0,810,10,125,41
Photo,0,733,5,53,26
Photo,0,537,0,53,22
Photo,0,625,4,93,18
Photo,0,626,7,91,38
Photo,NA,564,0,91,28
